titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
movie,Asleep in the Sun,Dormir al sol,0,2010,\N,83,Fantasy
movie,Hempsters: Plant the Seed,Hempsters: Plant the Seed,0,2010,\N,90,Documentary
video,Destination Fame,Destination Fame,0,2012,\N,\N,"Drama,Musical"
movie,Disconnect,Disconnect,0,2010,\N,112,"Drama,Mystery,Sci-Fi"
movie,The Stanford Prison Experiment,The Stanford Prison Experiment,0,2015,\N,122,"Biography,Drama,History"
short,Nonkina tosan Yamazaki kaido,Nonkina tosan Yamazaki kaido,0,2016,\N,\N,"Animation,Comedy,Short"
tvMovie,Hemingway & Gellhorn,Hemingway & Gellhorn,0,2012,\N,155,"Biography,Drama,Romance"
movie,Venus & Vegas,Venus & Vegas,0,2010,\N,95,"Action,Comedy,Crime"
movie,The Ninth Cloud,The Ninth Cloud,0,2014,\N,93,Drama
movie,El borde del tiempo,El borde del tiempo,0,2011,\N,100,Drama
movie,Beisbol,Beisbol,0,2010,\N,\N,Documentary
movie,Pots and Pans,Acorralados,0,2012,\N,\N,Drama
movie,Dinner for Schmucks,Dinner for Schmucks,0,2010,\N,114,Comedy
movie,Masters of the Universe,Masters of the Universe,0,2019,\N,\N,"Action,Adventure,Drama"
movie,The A-Team,The A-Team,0,2010,\N,117,"Action,Adventure,Comedy"
movie,The Rescuer,The Rescuer,0,2011,\N,84,Documentary
movie,The Possession,The Possession,0,2012,\N,92,"Horror,Thriller"
short,In absentia,In absentia,0,2013,\N,41,"Drama,Romance,Short"
movie,The Queen of Sheba Meets the Atom Man,The Queen of Sheba Meets the Atom Man,0,2018,\N,110,Comedy
video,Monster Mountain,Monster Mountain,0,2012,\N,91,"Horror,Sci-Fi"
movie,Real Steel,Real Steel,0,2011,\N,127,"Action,Drama,Family"
movie,Satin,Satin,0,2011,\N,84,"Comedy,Drama,Music"
movie,Caleuche: El llamado del Mar,Caleuche: El llamado del Mar,0,2012,\N,100,"Drama,Fantasy,Horror"
movie,L'apocalisse delle scimmie,L'apocalisse delle scimmie,0,2012,\N,\N,Drama
movie,The Giver,The Giver,0,2014,\N,97,"Drama,Romance,Sci-Fi"
movie,Toy Story 3,Toy Story 3,0,2010,\N,103,"Adventure,Animation,Comedy"
movie,Project x27,The Devil Inside,0,2010,\N,\N,"Horror,Thriller"
movie,Alita: Battle Angel,Alita: Battle Angel,0,2018,\N,\N,"Action,Adventure,Romance"
movie,"Cargo, les hommes perdus.","Cargo, les hommes perdus.",0,2010,\N,93,"Adventure,Romance"
movie,Untitled The Flash Film,Untitled The Flash Film,0,2020,\N,\N,"Action,Adventure,Fantasy"
movie,Moving Target,Moving Target,0,2011,\N,\N,"Drama,Thriller"
movie,Segurança Nacional,Segurança Nacional,0,2010,\N,86,Action
movie,Stolen Memories,Stolen Memories,0,2012,\N,\N,Documentary
movie,My Nappy Roots: A Journey Through Black Hair-itage,My Nappy Roots: A Journey Through Black Hair-itage,0,2010,\N,90,Documentary
movie,Danger Close,Danger Close,0,2019,\N,\N,"Action,Drama,War"
movie,Lincoln,Lincoln,0,2012,\N,150,"Biography,Drama,History"
movie,Milenge Milenge,Milenge Milenge,0,2010,\N,109,"Drama,Romance"
movie,Before We Go,Before We Go,0,2014,\N,95,"Comedy,Drama,Romance"
movie,The History of Love,The History of Love,0,2016,\N,134,"Drama,Romance,War"
movie,Vidas pequeñas,Vidas pequeñas,0,2010,\N,115,Drama
movie,7 Days,Les 7 jours du talion,0,2010,\N,105,"Crime,Drama,Horror"
movie,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,0,2010,\N,112,"Action,Comedy,Romance"
tvMovie,The Corrections,The Corrections,0,2012,\N,\N,Drama
movie,Dream Street,Dream Street,0,2010,\N,\N,Drama
movie,Surviving in L.A.,Surviving in L.A.,0,2018,\N,\N,"Comedy,Drama,Romance"
movie,A Bird of the Air,A Bird of the Air,0,2011,\N,108,"Drama,Romance"
movie,Shazam!,Shazam!,0,2019,\N,\N,"Action,Fantasy,Sci-Fi"
tvSeries,Tanging yaman,Tanging yaman,0,2010,\N,\N,Drama
movie,Puss in Boots,Puss in Boots,0,2011,\N,90,"Action,Adventure,Animation"
movie,Diary of a Bad Lad,Diary of a Bad Lad,0,2010,\N,92,"Comedy,Crime"
movie,Mad World,Mad World,0,2010,\N,98,Drama
